train/approx_kl,train/policy_gradient_loss,time/fps,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,time/iterations,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0113931075,-0.0036872447817586362,1987,-1.747898869216442,0.19981122016906738,0.09716518921777606,3847.75,0.0233154296875,0.2,0.00025,20480,-19.9375,0.02243371680378914,36,10,10,,
0.000978735,0.0001246039246325381,,-1.660669181495905,0.6105871200561523,0.05970754963345826,,0.0003662109375,0.2,0.00025,40000,,0.011307807639241219,76,,,-21.0,3056.0
,,1754,,,,3609.4411764705883,,,,40960,-20.264705882352942,,,20,23,,
0.013883496,-0.005256478034425527,1873,-1.7151442728936672,0.44616448879241943,0.08425190579146147,3508.859375,0.095458984375,0.2,0.00025,61440,-20.390625,0.016732824966311455,116,30,32,,
0.005562842,-0.0019642442202894017,,-1.7325560338795185,0.40709662437438965,0.08606161526404321,,0.0001220703125,0.2,0.00025,80000,,0.015278363600373268,156,,,-21.0,3056.0
,,1790,,,,3567.3086419753085,,,,81920,-20.333333333333332,,,40,45,,
0.010499429,-0.00355217102332972,1848,-1.7387184798717499,0.8060599565505981,0.04628371528815478,3528.85,0.046630859375,0.2,0.00025,102400,-20.4,-0.008329670876264572,196,50,55,,
0.017428998,-0.011817141814390197,,-1.6986136138439178,0.6177189350128174,0.051198232744354755,,0.205322265625,0.2,0.00025,120000,,-0.01588827557861805,232,,,-21.0,3056.0
0.011216473,-0.0021921856387052685,1808,-1.7041260674595833,0.5896530151367188,0.06338525481987745,3540.26,0.0579833984375,0.2,0.00025,122880,-20.45,0.010686947964131832,236,60,67,,
0.007654402,-0.0023307742521865293,1856,-1.7645102329552174,0.8378572463989258,0.032696051988750696,3599.29,0.010986328125,0.2,0.00025,143360,-20.42,-0.01270810142159462,276,70,77,,
0.009519528,-0.004315238387789577,,-1.7543378286063671,0.7932753562927246,0.04327394824940711,,0.0517578125,0.2,0.00025,160000,,0.01075693592429161,312,,,-21.0,3070.4
0.0071403272,-0.004444570164196193,1822,-1.7473512291908264,0.5628862380981445,0.051211973768658936,3660.52,0.0482177734375,0.2,0.00025,163840,-20.32,-0.005719121545553207,316,80,89,,
0.0039296127,-0.0001885454257717356,1854,-1.7016978114843369,0.5034706592559814,0.09413493890315294,3614.45,0.0086669921875,0.2,0.00025,184320,-20.39,0.0270729660987854,356,90,99,,
